epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.2206,1.1594,3.35383,1.09314,0.01574,0.84783,0.08117,0.03569,0.88587,3.25409,0.94936,5.001e-05,5.001e-05,5.001e-05
2,6.26899,1.05351,3.15164,1.05849,0.01718,1,0.23729,0.13579,0.78859,3.15921,0.91799,0.00011438,0.00011438,0.00011438
3,8.2674,1.01336,2.62293,1.00674,0.01599,1,0.2971,0.18308,0.82645,2.97912,0.93586,0.000176109,0.000176109,0.000176109
4,10.1271,1.07025,1.95709,1.05734,0.58276,0.2195,0.45809,0.28958,0.85921,2.71492,0.92027,0.000235197,0.000235197,0.000235197
5,11.8474,1.0096,1.78077,1.0335,0.9756,0.13043,0.45921,0.27086,0.80659,2.57546,0.92083,0.000291645,0.000291645,0.000291645
6,13.6122,0.95121,1.50398,0.94622,0.01611,1,0.52918,0.33292,0.7889,2.55433,0.89757,0.000345452,0.000345452,0.000345452
7,15.3828,0.89762,1.44788,0.93324,0.01606,1,0.48274,0.32568,0.82244,2.58318,0.90228,0.000396619,0.000396619,0.000396619
8,17.1804,0.94224,1.39419,0.94689,0.01608,1,0.56804,0.3891,0.70884,2.57464,0.88817,0.000445146,0.000445146,0.000445146
9,18.8798,0.96342,1.30113,0.99139,0.01612,1,0.65607,0.49611,0.74438,2.53841,0.89663,0.000491032,0.000491032,0.000491032
10,20.6249,0.89309,1.19741,0.94187,0.01615,1,0.6295,0.45561,0.87412,2.58254,0.92843,0.000534277,0.000534277,0.000534277
11,22.3703,0.90349,1.1469,0.94032,0.02499,1,0.57265,0.36279,0.84686,2.65041,0.92883,0.000574882,0.000574882,0.000574882
12,24.2192,0.92937,1.1565,0.95317,0.92763,0.12871,0.51722,0.33732,0.89555,2.60573,0.91614,0.000612846,0.000612846,0.000612846
13,26.0455,0.874,1.08106,0.92885,1,0.121,0.75326,0.53743,0.78051,2.41852,0.90275,0.00064817,0.00064817,0.00064817
14,27.7785,0.83819,1.01656,0.97659,1,0.27001,0.83257,0.64046,0.75973,2.25623,0.90411,0.000680853,0.000680853,0.000680853
15,29.5927,0.8788,0.93314,0.95688,0.95656,0.4506,0.87756,0.66287,0.83086,2.06593,0.91127,0.000710895,0.000710895,0.000710895
16,31.3116,0.92699,1.33507,0.97373,0.8727,0.50664,0.87272,0.63631,0.79783,2.01987,0.90445,0.000738298,0.000738298,0.000738298
17,32.9935,0.85978,0.96768,0.96744,0.80105,0.50533,0.78103,0.54496,0.73284,2.09267,0.90646,0.000763059,0.000763059,0.000763059
18,34.7321,0.886,1.10908,0.97959,0.82659,0.58682,0.85649,0.57116,0.87376,1.96912,0.92496,0.00078518,0.00078518,0.00078518
19,36.4822,0.94207,1.04115,0.97744,0.82654,0.71221,0.91124,0.64554,0.8779,1.81659,0.92802,0.000804661,0.000804661,0.000804661
20,38.16,0.8294,0.93462,0.9531,0.85765,0.88882,0.9313,0.68986,0.79478,1.64166,0.92494,0.000821501,0.000821501,0.000821501
21,40.0702,0.83476,0.87271,0.92205,0.83497,0.8893,0.94732,0.70986,0.88763,1.37182,0.94985,0.0008357,0.0008357,0.0008357
22,41.8546,0.83768,0.90565,0.93654,0.83708,0.87755,0.95534,0.74104,0.84033,1.26511,0.93954,0.000847259,0.000847259,0.000847259
23,43.5028,0.93621,1.02918,1.02992,0.87011,0.92754,0.95824,0.77171,0.77347,1.17894,0.93526,0.000856178,0.000856178,0.000856178
24,45.406,0.79098,0.83669,0.92164,0.82858,0.94655,0.95141,0.74369,0.81383,1.17414,0.93401,0.000862456,0.000862456,0.000862456
25,47.1024,0.88236,0.88752,0.93869,0.87346,0.91509,0.96653,0.71172,0.89071,1.17559,0.9285,0.000866093,0.000866093,0.000866093
