epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.33255,1.14311,3.14651,1.15402,0.08377,0.29913,0.14612,0.0898,0.99683,2.81604,1.08667,5.001e-05,5.001e-05,5.001e-05
2,11.2864,1.04984,2.5081,1.12289,0.42161,0.43913,0.39311,0.26516,0.82995,2.16024,0.96768,0.00011438,0.00011438,0.00011438
3,13.7685,0.98443,1.58648,1.01143,0.51304,0.89158,0.62603,0.48166,0.77976,1.76196,0.91112,0.000176109,0.000176109,0.000176109
4,16.3499,0.99219,1.15396,1.06734,0.73981,0.81652,0.84173,0.67675,0.77307,1.07687,0.90512,0.000235197,0.000235197,0.000235197
5,18.6197,1.04128,1.29305,1.07636,0.85599,0.91826,0.91513,0.74547,0.7001,0.88663,0.91003,0.000291645,0.000291645,0.000291645
6,20.8329,0.84811,0.86771,0.95337,0.86695,0.85965,0.90786,0.6866,0.86714,0.88016,0.96348,0.000345452,0.000345452,0.000345452
7,23.0534,0.84376,0.82312,0.94166,0.82126,0.85478,0.87758,0.69807,0.78831,0.92469,0.96118,0.000396619,0.000396619,0.000396619
8,25.1967,0.87105,0.87617,0.94645,0.79288,0.83396,0.84387,0.6423,0.86687,0.98556,0.95204,0.000445146,0.000445146,0.000445146
9,28.2906,0.88295,0.84274,0.98542,0.86974,0.82417,0.89177,0.67971,0.81184,0.85986,0.94747,0.000491032,0.000491032,0.000491032
10,30.4615,0.82685,0.74926,0.92768,0.88798,0.89478,0.93193,0.70884,0.86429,0.86265,0.95086,0.000534277,0.000534277,0.000534277
11,32.6708,0.82224,0.70999,0.94411,0.88849,0.9081,0.95305,0.77565,0.73423,0.58153,0.91683,0.000574882,0.000574882,0.000574882
12,34.9075,0.86677,0.73398,0.9485,0.85596,0.87189,0.92593,0.73518,0.79442,0.70457,0.93242,0.000612846,0.000612846,0.000612846
13,37.065,0.82536,0.69881,0.93757,0.69244,0.92796,0.87734,0.70867,0.75974,1.07857,0.92959,0.00064817,0.00064817,0.00064817
14,39.1608,0.79937,0.695,0.95367,0.82261,0.96084,0.93587,0.72948,0.80397,0.8566,0.94345,0.000680853,0.000680853,0.000680853
15,41.3451,0.83195,0.68542,0.95092,0.89797,0.95579,0.96134,0.75445,0.80992,0.74846,0.9514,0.000710895,0.000710895,0.000710895
16,43.4477,0.84258,0.81964,0.94932,0.9004,0.9534,0.96554,0.7504,0.77223,0.7774,0.93683,0.000738298,0.000738298,0.000738298
